Data da refeição,Salada,Frango,Arroz,Feijão,Farrofa,Sobremesa,Vegetariano
02/07/2024 terça-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
02/07/2024 terça-feira,NÃO CONSUMI,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,RUIM,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI,NÃO CONSUMI
02/07/2024 terça-feira,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,RUIM,NÃO CONSUMI
02/07/2024 terça-feira,BOM,ÓTIMO,BOM,ÓTIMO,BOM,BOM,NÃO CONSUMI
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
02/07/2024 terça-feira,BOM,ÓTIMO,BOM,BOM,BOM,REGULAR,NÃO CONSUMI
02/07/2024 terça-feira,REGULAR,REGULAR,RUIM,RUIM,REGULAR,ÓTIMO,RUIM
02/07/2024 terça-feira,RUIM,REGULAR,RUIM,RUIM,BOM,BOM,BOM
02/07/2024 terça-feira,BOM,ÓTIMO,BOM,BOM,NÃO CONSUMI,NÃO CONSUMI,NÃO CONSUMI
02/07/2024 terça-feira,BOM,ÓTIMO,BOM,BOM,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,BOM,BOM,ÓTIMO,REGULAR,REGULAR,REGULAR,NÃO CONSUMI
02/07/2024 terça-feira,BOM,ÓTIMO,RUIM,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,REGULAR
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,REGULAR,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,BOM,NÃO CONSUMI
02/07/2024 terça-feira,NÃO CONSUMI,REGULAR,BOM,BOM,ÓTIMO,BOM,NÃO CONSUMI
02/07/2024 terça-feira,REGULAR,BOM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
01/07/2024 segunda-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,NÃO CONSUMI
02/07/2024 terça-feira,BOM,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,BOM,REGULAR,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,BOM,ÓTIMO,BOM,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,REGULAR,BOM,BOM,REGULAR,BOM,BOM,REGULAR
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,BOM,RUIM,BOM,BOM,BOM,REGULAR,REGULAR
02/07/2024 terça-feira,REGULAR,BOM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,BOM,REGULAR,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,BOM,BOM,REGULAR,REGULAR,REGULAR,REGULAR,RUIM
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
