Data da refeição,Salada,Frango,Arroz,Feijão,Farofa,Sobremesa,Vegetariano
26/06/2024 quarta-feira,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO,ÓTIMO
26/06/2024 quarta-feira,BOM,BOM,BOM,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,RUIM,REGULAR,BOM,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,BOM,BOM,NÃO CONSUMI,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,REGULAR,REGULAR,BOM,ÓTIMO,REGULAR,BOM
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,BOM,BOM,BOM,BOM,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,REGULAR,REGULAR,REGULAR
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
26/06/2024 quarta-feira,BOM,REGULAR,BOM,ÓTIMO,BOM,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,REGULAR,REGULAR,REGULAR,RUIM,REGULAR,RUIM
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,BOM,BOM,BOM,BOM,BOM,REGULAR
26/06/2024 quarta-feira,ÓTIMO,BOM,BOM,REGULAR,BOM,ÓTIMO,BOM
26/06/2024 quarta-feira,ÓTIMO,BOM,BOM,BOM,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI,BOM,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,REGULAR,ÓTIMO,BOM,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,REGULAR,REGULAR,BOM,BOM,REGULAR,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,REGULAR,BOM,BOM,BOM,REGULAR,BOM
26/06/2024 quarta-feira,RUIM,BOM,BOM,REGULAR,BOM,REGULAR,RUIM
26/06/2024 quarta-feira,BOM,REGULAR,BOM,NÃO CONSUMI,ÓTIMO,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,RUIM
26/06/2024 quarta-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO
26/06/2024 quarta-feira,REGULAR,BOM,BOM,BOM,BOM,RUIM,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,REGULAR,NÃO CONSUMI
26/06/2024 quarta-feira,BOM,BOM,BOM,BOM,BOM,BOM,NÃO CONSUMI
26/06/2024 quarta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
