Data da refeição,Salada,Carne,Arroz,Feijão,Farofa,Sobremesa,Vegetariano
25/06/2024 terça-feira,ÓTIMO,BOM,BOM,ÓTIMO,BOM,ÓTIMO,NÃO CONSUMI
25/06/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
25/06/2024 terça-feira,REGULAR,BOM,BOM,BOM,BOM,BOM,BOM
25/06/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
25/06/2024 terça-feira,ÓTIMO,REGULAR,BOM,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
25/06/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
25/06/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO,NÃO CONSUMI
25/06/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
25/06/2024 terça-feira,ÓTIMO,ÓTIMO,BOM,BOM,REGULAR,ÓTIMO,NÃO CONSUMI
25/06/2024 terça-feira,REGULAR,BOM,REGULAR,REGULAR,REGULAR,BOM,REGULAR
25/06/2024 terça-feira,REGULAR,BOM,BOM,BOM,BOM,BOM,BOM
25/06/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
25/06/2024 terça-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
25/06/2024 terça-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
25/06/2024 terça-feira,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,RUIM
25/06/2024 terça-feira,REGULAR,BOM,BOM,BOM,BOM,BOM,REGULAR
25/06/2024 terça-feira,BOM,REGULAR,REGULAR,REGULAR,BOM,BOM,REGULAR
