Data da refeição,Salada,Carne,Arroz,Feijão,Farofa,Sobremesa,Vegetariano
27/06/2024 quinta-feira,RUIM,RUIM,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR
27/06/2024 quinta-feira,BOM,BOM,BOM,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,BOM,REGULAR,BOM,REGULAR,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,NÃO CONSUMI,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,REGULAR,REGULAR,REGULAR,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,REGULAR,BOM,BOM,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,ÓTIMO,REGULAR,BOM,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,BOM,REGULAR,REGULAR,REGULAR,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,BOM,BOM,BOM,RUIM,BOM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,REGULAR,BOM
27/06/2024 quinta-feira,REGULAR,REGULAR,BOM,BOM,BOM,REGULAR,BOM
27/06/2024 quinta-feira,BOM,REGULAR,BOM,BOM,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,RUIM,RUIM,REGULAR,RUIM,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,RUIM,BOM,REGULAR,BOM,RUIM,RUIM
27/06/2024 quinta-feira,ÓTIMO,BOM,BOM,ÓTIMO,BOM,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,BOM,RUIM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,ÓTIMO,REGULAR,NÃO CONSUMI,REGULAR,ÓTIMO,BOM,RUIM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,REGULAR
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,ÓTIMO,BOM,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,RUIM,BOM,RUIM,BOM,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,NÃO CONSUMI,NÃO CONSUMI,REGULAR,ÓTIMO,BOM,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,RUIM,REGULAR,BOM,BOM,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,REGULAR,REGULAR,BOM,REGULAR,RUIM,RUIM,RUIM
27/06/2024 quinta-feira,REGULAR,BOM,REGULAR,BOM,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
27/06/2024 quinta-feira,REGULAR,BOM,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,REGULAR,REGULAR,BOM,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,ÓTIMO,BOM,ÓTIMO,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,BOM,BOM,ÓTIMO,ÓTIMO,REGULAR,ÓTIMO
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM,BOM
27/06/2024 quinta-feira,REGULAR,NÃO CONSUMI,REGULAR,BOM,ÓTIMO,RUIM,REGULAR
27/06/2024 quinta-feira,RUIM,REGULAR,REGULAR,BOM,BOM,RUIM,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,REGULAR,BOM,REGULAR,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,BOM,ÓTIMO,BOM,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,RUIM,REGULAR,REGULAR,REGULAR,REGULAR,RUIM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,REGULAR
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,NÃO CONSUMI,REGULAR,BOM,REGULAR,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,REGULAR,ÓTIMO,ÓTIMO,BOM,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,REGULAR,NÃO CONSUMI,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,BOM,REGULAR,BOM,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,RUIM,REGULAR,BOM,REGULAR,ÓTIMO,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,REGULAR,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI,NÃO CONSUMI,BOM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,RUIM,RUIM,REGULAR,REGULAR,RUIM,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,REGULAR,BOM,BOM,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,BOM,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,RUIM,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,BOM
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
27/06/2024 quinta-feira,REGULAR,BOM,BOM,ÓTIMO,ÓTIMO,BOM,BOM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,REGULAR,BOM
27/06/2024 quinta-feira,BOM,ÓTIMO,ÓTIMO,BOM,ÓTIMO,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,NÃO CONSUMI,REGULAR,ÓTIMO,RUIM,REGULAR,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,REGULAR,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,NÃO CONSUMI,BOM,ÓTIMO,ÓTIMO,REGULAR,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,RUIM
27/06/2024 quinta-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
