Data da refeição,Salada,Frango,Arroz,Feijão,Farofa,Sobremesa,Vegetariano
28/06/2024 sexta-feira,REGULAR,REGULAR,BOM,BOM,BOM,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR,REGULAR
28/06/2024 sexta-feira,ÓTIMO,REGULAR,BOM,REGULAR,BOM,REGULAR,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,REGULAR,BOM,BOM,BOM,BOM,REGULAR,REGULAR
28/06/2024 sexta-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,REGULAR,BOM
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,REGULAR,BOM,ÓTIMO,BOM,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,BOM,REGULAR,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,REGULAR,ÓTIMO,BOM,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
28/06/2024 sexta-feira,REGULAR,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,NÃO CONSUMI,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,REGULAR,REGULAR,BOM,BOM,ÓTIMO,REGULAR,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
28/06/2024 sexta-feira,REGULAR,BOM,REGULAR,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,NÃO CONSUMI,ÓTIMO,BOM,ÓTIMO,REGULAR,ÓTIMO
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,REGULAR,BOM
28/06/2024 sexta-feira,BOM,REGULAR,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,REGULAR,BOM,BOM,NÃO CONSUMI,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,ÓTIMO,ÓTIMO,BOM,REGULAR,BOM,BOM
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,REGULAR,BOM,ÓTIMO,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,BOM,ÓTIMO,ÓTIMO,BOM,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,BOM,BOM,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
28/06/2024 sexta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
28/06/2024 sexta-feira,BOM,BOM,ÓTIMO,BOM,BOM,BOM,NÃO CONSUMI
